epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
1,4.745706087488043,0.982,0.03739823536872864,"tensor(0.9900, device='cuda:0')",0.1,128,0,5.616248369216919,147.74,254.0,0.0935
2,4.351827108036831,4.358,0.030749196195602416,"tensor(8.5200, device='cuda:0')",0.1,128,0,5.368940830230713,148.24,2592.0,7.8004
3,3.7790823497024237,10.514,0.02913407793045044,"tensor(12.1500, device='cuda:0')",0.1,998,0,2.4977054595947266,148.74,494.0,1.2259
4,3.646117408101152,12.94,0.02824039011001587,"tensor(13.8600, device='cuda:0')",0.1,1223,0,2.4990642070770264,148.23,1012.0,2.1806
5,3.5296567630767823,14.916,0.027529773879051207,"tensor(16.3300, device='cuda:0')",0.1,2048,0,2.489128828048706,148.42,732.0,2.5586
6,3.4439276027679444,16.188,0.02725489287376404,"tensor(16.6200, device='cuda:0')",0.1,2048,0,2.5052907466888428,148.42,34564.0,2.8057
7,3.3502558612823488,18.312,0.026019204807281496,"tensor(19.7900, device='cuda:0')",0.1,2048,0,2.490386962890625,148.42,34564.0,2.9608
8,3.2549894523620604,20.056,0.025583317422866823,"tensor(21.0800, device='cuda:0')",0.1,2048,0,2.505817174911499,148.42,34564.0,2.9076
9,3.15378927230835,22.05,0.024566511416435243,"tensor(23.3000, device='cuda:0')",0.1,2048,0,2.5091712474823,148.42,34564.0,3.2206
10,3.0570921421051027,24.036,0.02455373499393463,"tensor(23.8200, device='cuda:0')",0.1,2048,0,2.5089781284332275,148.42,34564.0,3.2218
11,2.9626076793670655,25.836,0.02411055543422699,"tensor(24.4200, device='cuda:0')",0.1,2048,0,2.4978280067443848,148.42,34564.0,3.1618
12,2.871556434631348,27.654,0.02289099202156067,"tensor(27.2900, device='cuda:0')",0.1,2048,0,2.508439302444458,148.42,34564.0,3.2039
13,2.771122417449951,29.646,0.02222501630783081,"tensor(28.8100, device='cuda:0')",0.1,2048,0,2.4992339611053467,148.42,34564.0,3.5952
14,2.6835169887542722,31.586,0.021980852842330933,"tensor(29.8300, device='cuda:0')",0.1,2048,0,2.463977336883545,148.42,34564.0,3.2927
15,3.189581525295287,21.206,0.0258920325756073,"tensor(21.8600, device='cuda:0')",0.1,128,0,5.527621507644653,190.85,238.0,4.4701
16,2.5732871944254097,33.764,0.019717999458312988,"tensor(35.9200, device='cuda:0')",0.1,572,0,2.8728091716766357,191.13,514.0,2.7857
17,2.322933167219162,38.82,0.018089991056919098,"tensor(39.8100, device='cuda:0')",0.1,1593,0,2.7177932262420654,191.97,716.0,2.3845
