epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
38,0.2467748510837555,92.962,0.012185726547241212,"tensor(63.8800, device='cuda:0')",0.1,2048,0,2.265320301055908,147.67,39058.0,0.0
39,0.23798261642456053,93.272,0.011931153857707977,"tensor(64.2600, device='cuda:0')",0.1,2048,0,2.224250555038452,147.67,39058.0,0.0
40,0.22721230149269103,93.646,0.011599620044231415,"tensor(65.4600, device='cuda:0')",0.1,2048,0,2.2196884155273438,147.67,39058.0,2.1061
41,0.21374125123023988,94.092,0.01182979621887207,"tensor(64.8600, device='cuda:0')",0.1,2048,0,2.231647253036499,147.67,39058.0,0.0
42,0.20436494767665864,94.398,0.012004920947551727,"tensor(63.6800, device='cuda:0')",0.1,2048,0,2.236758232116699,147.67,39058.0,0.0
43,0.2040440821647644,94.272,0.011774369317293167,"tensor(64.6800, device='cuda:0')",0.1,2048,0,2.248528003692627,147.67,39058.0,0.0
44,0.19806548953056335,94.496,0.012597379529476167,"tensor(64.3400, device='cuda:0')",0.1,2048,0,2.237434148788452,147.67,39058.0,0.0
45,0.1890055364370346,94.844,0.0121337406873703,"tensor(64.6200, device='cuda:0')",0.1,2048,0,2.226384401321411,147.67,39058.0,0.0
46,0.18557098507881165,94.882,0.01195198004245758,"tensor(64.8500, device='cuda:0')",0.1,2048,0,2.253824234008789,147.67,39058.0,0.0
47,0.1770240968465805,95.238,0.012574747467041016,"tensor(63.6200, device='cuda:0')",0.1,2048,0,2.2556376457214355,147.67,39058.0,0.0
48,0.17217306673526764,95.422,0.012597062194347381,"tensor(63.8100, device='cuda:0')",0.1,2048,0,2.260378837585449,147.67,39058.0,0.0
49,0.16469655096530914,95.608,0.012518577599525451,"tensor(63.9400, device='cuda:0')",0.1,2048,0,2.2184555530548096,147.67,39058.0,0.0
50,0.1571164298057556,95.794,0.01206315746307373,"tensor(64.9100, device='cuda:0')",0.1,2048,0,2.243302345275879,147.67,39058.0,2.0734
