epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
1,4.691379604339599,0.874,0.002318295192718506,"tensor(1.0200, device='cuda:0')",0.1,2048,20.51592230796814,6.041805982589722,149.34,904.0,
2,5.220836353302002,2.352,0.09205417938232421,"tensor(1.2100, device='cuda:0')",0.1,2048,17.49163794517517,5.08909797668457,149.34,17060.0,
3,4.272235736846924,4.69,0.0021017323017120363,"tensor(5.3300, device='cuda:0')",0.1,2048,17.551401138305664,5.062827110290527,149.34,17060.0,
4,3.9605295181274416,8.132,0.001962226629257202,"tensor(7.8200, device='cuda:0')",0.1,2048,17.235389471054077,5.585087299346924,149.34,17060.0,
5,3.7648022842407225,10.932,0.0018579055070877075,"tensor(12.1800, device='cuda:0')",0.1,2048,17.22219157218933,6.096567153930664,149.34,17060.0,
6,3.608133249282837,13.66,0.0018034931182861328,"tensor(13.7200, device='cuda:0')",0.1,2048,17.25120258331299,5.085801601409912,149.34,17060.0,
7,3.4737828540802003,16.138,0.0017330039262771605,"tensor(17.2200, device='cuda:0')",0.1,2048,17.159802436828613,4.993548154830933,149.34,17060.0,
8,3.3273859786987305,18.628,0.0017498328924179078,"tensor(16.4400, device='cuda:0')",0.1,2048,17.23359489440918,5.040436506271362,149.34,17060.0,
9,3.1626254081726075,21.97,0.0015606396436691284,"tensor(23.2400, device='cuda:0')",0.1,2048,17.219130277633667,5.039448022842407,149.34,17060.0,
10,3.022741813659668,24.634,0.0015818487882614137,"tensor(23.2700, device='cuda:0')",0.1,2048,17.188186645507812,5.564837455749512,149.34,17060.0,
11,2.895812120437622,27.102,0.0015184608221054077,"tensor(25.2000, device='cuda:0')",0.1,2048,17.18492078781128,5.0555384159088135,149.34,17060.0,
12,2.770411615371704,29.592,0.0014739458084106446,"tensor(26.9900, device='cuda:0')",0.1,2048,17.268783807754517,5.035639047622681,149.34,17060.0,
13,2.6579114532470705,31.77,0.0013708537340164184,"tensor(30.0800, device='cuda:0')",0.1,2048,17.253220081329346,5.076931953430176,149.34,17060.0,
